,Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000030,1,Materialzugang,12:36:17
3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000030,2,Sachkontenbuchung,12:36:17
3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000030,3,Materialzugang,12:36:17
3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000030,4,Sachkontenbuchung,12:36:17
3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000031,2,Sachkontenbuchung,12:38:23
3526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000031,3,Sachkontenbuchung,12:38:23
6732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000047,1,Materialzugang,13:05:42
6733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000047,2,Sachkontenbuchung,13:05:42
6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000047,3,Materialzugang,13:05:42
6735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000047,4,Sachkontenbuchung,13:05:42
6870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000695,2,Sachkontenbuchung,13:07:46
6871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000695,3,Sachkontenbuchung,13:07:46
6891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000696,2,Sachkontenbuchung,13:07:47
6892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000696,3,Sachkontenbuchung,13:07:47
6914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000697,2,Sachkontenbuchung,13:07:47
6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000697,3,Sachkontenbuchung,13:07:47
6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000698,2,Sachkontenbuchung,13:07:47
6924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000698,3,Sachkontenbuchung,13:07:47
6930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000699,2,Sachkontenbuchung,13:07:47
6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000699,3,Sachkontenbuchung,13:07:47
6937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000700,2,Sachkontenbuchung,13:07:47
6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000700,3,Sachkontenbuchung,13:07:47
6944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000701,2,Sachkontenbuchung,13:07:47
6945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000701,3,Sachkontenbuchung,13:07:47
6951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000702,2,Sachkontenbuchung,13:07:47
6952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000702,3,Sachkontenbuchung,13:07:47
6958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000703,2,Sachkontenbuchung,13:07:47
6959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000703,3,Sachkontenbuchung,13:07:47
6965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000704,2,Sachkontenbuchung,13:07:47
6966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000704,3,Sachkontenbuchung,13:07:47
6972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90000705,2,Sachkontenbuchung,13:07:47
